Date,Day,Month,Open,High,Low,Close,Volume,OutcomeGiornoDopo,OutcomeDopoSettimana
11/10/84,4,10,244.199997,244.699997,244.199997,244.699997,62860000,246.199997,249.800003
12/10/84,5,10,245.5,246.199997,245.5,246.199997,58860000,247.699997,251.199997
15/10/84,1,10,246.800003,247.699997,246.800003,247.699997,61820000,247.300003,250.600006
16/10/84,2,10,247.800003,247.899994,247.100006,247.300003,57440000,247.100006,250.600006
17/10/84,3,10,247.100006,247.100006,246.800003,247.100006,64670000,249.800003,250.800003
18/10/84,4,10,247.5,249.800003,247.300003,249.800003,64730000,251.199997,249
19/10/84,5,10,252.199997,252.199997,251.199997,251.199997,87610000,250.600006,247.399994
22/10/84,1,10,250.699997,251.100006,250.5,250.600006,53480000,250.600006,246.5
23/10/84,2,10,251.100006,251.100006,250.5,250.600006,59210000,250.800003,247.5
24/10/84,3,10,250.699997,250.800003,250.399994,250.800003,63360000,249,247
25/10/84,4,10,250.300003,250.300003,249,249,63910000,247.399994,248
26/10/84,5,10,247.699997,247.699997,247.300003,247.399994,52890000,246.5,248
29/10/84,1,10,247,247,246.399994,246.5,45110000,247.5,248.399994
30/10/84,2,10,246.899994,247.5,246.899994,247.5,56550000,247,250.5
31/10/84,3,10,247.5,247.600006,247,247,58870000,248,249.800003
01/11/84,4,11,247.100006,248,247.100006,248,55840000,248,249.5
02/11/84,5,11,248,248.399994,248,248,60100000,248.399994,249.5
05/11/84,1,11,247.800003,248.399994,247.600006,248.399994,56050000,250.5,249.300003
06/11/84,2,11,249.199997,250.5,249.199997,250.5,68510000,249.800003,247.800003
07/11/84,3,11,250.5,250.5,249.800003,249.800003,62200000,249.5,247
08/11/84,4,11,249.399994,249.600006,249.399994,249.5,60620000,249.5,246
09/11/84,5,11,250,250.300003,249.5,249.5,63690000,249.300003,245.100006
12/11/84,1,11,249.199997,249.300003,248.800003,249.300003,51230000,247.800003,242.899994
13/11/84,2,11,249.300003,249.300003,247.800003,247.800003,55160000,247,243.199997
14/11/84,3,11,247.199997,247.199997,246.800003,247,56650000,246,243
